b,s,bp,sp,days,gross%,fee%,net%
2005-09-02,2005-11-30,829.46,759.63,89,-8.42,0.65,-9.07
2006-02-15,2008-01-25,868.02,3875.58,709,346.48,0.4,346.08
2009-03-04,2009-11-05,1671.57,2505.14,246,49.87,0.65,49.22
2009-12-28,2010-03-04,2446.22,2261.93,66,-7.53,0.65,-8.18
2010-10-19,2011-01-28,2278.35,1945.14,101,-14.63,0.65,-15.28
2011-04-22,2011-07-07,2151.67,2006.14,76,-6.76,0.65,-7.41
2012-03-20,2012-07-17,1755.72,1669.71,119,-4.9,0.65,-5.55
2012-12-26,2013-05-31,1800.56,1841.37,156,2.27,0.65,1.62
2013-11-15,2014-01-10,1604.82,1498.27,56,-6.64,0.65,-7.29
2014-06-18,2014-07-21,1495.43,1479.84,33,-1.04,0.65,-1.69
2014-07-24,2015-08-17,1541.9,2550.47,389,65.41,0.4,65.01
2016-01-05,2016-02-05,2288.11,1967.26,31,-14.02,0.65,-14.67
2016-06-16,2018-04-23,2094.82,2664.92,676,27.21,0.4,26.81
2018-12-17,2018-12-21,2425.95,2306.14,4,-4.94,1.65,-6.59
2019-03-05,2020-03-16,2828.87,2694.02,377,-4.77,0.4,-5.17
2020-07-07,2021-05-13,3381.76,3413.89,310,0.95,0.65,0.3
2021-12-24,2022-02-25,3290.24,3075.59,63,-6.52,0.65,-7.17
2022-08-18,2022-09-16,2759.29,2678.03,29,-2.94,0.9,-3.84
2023-02-03,2023-05-17,2774.8,2649.36,103,-4.52,0.65,-5.17
2024-04-11,2024-08-07,2394.87,2314.43,118,-3.36,0.65,-4.01
2024-11-01,2025-03-24,2651.54,2693.33,143,1.58,0.65,0.93
2025-04-25,2026-04-07,2648.81,2830.52,347,6.86,0.65,6.21
