b,s,bp,sp,days,gross%,fee%,net%
2003-04-04,2003-08-26,1223.56,1179.33,144,-3.61,0.65,-4.26
2004-01-30,2004-06-11,1281.33,1140.53,133,-10.99,0.65,-11.64
2005-09-23,2005-12-08,916.15,874.06,76,-4.6,0.65,-5.25
2006-02-10,2006-10-26,1032.34,1456.1,258,41.05,0.65,40.4
2006-10-31,2008-01-18,1464.47,5414.47,444,269.72,0.4,269.32
2009-02-19,2009-11-10,2298.41,3503.78,264,52.44,0.65,51.79
2009-12-02,2010-03-11,3597.33,3276.7,99,-8.91,0.65,-9.56
2010-10-13,2011-02-22,3217.58,3163.58,132,-1.68,0.65,-2.33
2011-04-25,2011-06-17,3249.57,2892.16,53,-11.0,0.65,-11.65
2012-04-12,2012-07-18,2570.44,2414.34,97,-6.07,0.65,-6.72
2013-01-14,2013-06-07,2577.72,2484.16,144,-3.63,0.65,-4.28
2013-11-04,2014-01-15,2380.45,2208.94,72,-7.21,0.65,-7.86
2014-08-07,2015-08-24,2327.46,3275.53,382,40.73,0.4,40.33
2015-12-31,2016-02-05,3731.0,2963.79,36,-20.56,0.65,-21.21
2016-06-24,2018-04-18,3077.16,3766.28,663,22.39,0.4,21.99
2019-03-05,2019-07-26,3816.01,3858.57,143,1.12,0.65,0.47
2019-09-10,2020-04-09,3959.26,3792.81,212,-4.2,0.65,-4.85
2020-07-06,2021-05-12,4670.1,5044.55,310,8.02,0.65,7.37
2022-08-09,2022-09-28,4156.29,3828.71,50,-7.88,0.65,-8.53
2023-02-07,2023-05-30,4094.23,3837.75,112,-6.26,0.65,-6.91
2024-04-19,2024-08-05,3541.66,3343.32,108,-5.6,0.65,-6.25
2024-11-05,2025-03-24,4044.57,3934.85,139,-2.71,0.65,-3.36
2025-07-14,2026-06-22,4017.67,5059.66,343,25.94,0.65,25.29
