b,s,bp,sp,days,gross%,fee%,net%
2005-10-10,2006-01-18,858.75,939.14,100,9.36,0.62,8.74
2006-02-06,2007-12-28,980.91,4947.6,690,404.39,0.37,404.02
2008-02-18,2008-04-18,5043.14,3338.27,60,-33.81,0.62,-34.43
2009-02-09,2010-06-09,2579.23,4211.88,485,63.3,0.37,62.93
2010-09-30,2011-03-02,4660.6,5108.74,153,9.62,0.62,9.0
2011-04-29,2011-06-13,4836.87,4468.79,45,-7.61,0.62,-8.23
2012-04-27,2012-07-19,3664.64,3392.66,83,-7.42,0.62,-8.04
2013-02-20,2013-08-22,3635.38,3636.47,183,0.03,0.62,-0.59
2013-09-17,2014-05-30,3786.29,3829.24,255,1.13,0.62,0.51
2014-08-07,2015-09-01,4286.09,6169.21,390,43.94,0.37,43.57
2015-12-25,2016-02-17,7792.12,5971.41,54,-23.37,0.62,-23.99
2016-06-28,2017-01-26,6107.51,6223.71,212,1.9,0.62,1.28
2017-04-25,2017-05-22,6160.46,5888.81,27,-4.41,0.87,-5.28
2017-09-04,2018-01-05,6564.68,6417.25,123,-2.25,0.62,-2.87
2019-03-11,2019-07-15,5456.38,4925.32,126,-9.73,0.62,-10.35
2019-10-23,2020-06-01,4967.2,5569.48,222,12.13,0.62,11.51
2020-06-30,2020-12-03,5864.42,6440.88,156,9.83,0.62,9.21
2021-02-18,2021-04-23,6614.54,6462.76,64,-2.29,0.62,-2.91
2021-06-08,2022-02-08,6684.56,6742.19,245,0.86,0.62,0.24
2022-08-10,2022-10-27,6322.06,5963.0,78,-5.68,0.62,-6.3
2023-02-07,2023-06-21,6317.24,5990.85,134,-5.17,0.62,-5.79
2024-05-14,2024-07-19,5500.74,4872.05,66,-11.43,0.62,-12.05
2024-11-07,2025-03-27,6239.56,5957.6,140,-4.52,0.62,-5.14
2025-04-28,2025-05-28,5598.3,5637.24,30,0.7,0.62,0.08
2025-07-25,2026-06-22,6299.59,8868.78,332,40.78,0.62,40.16
