b,s,bp,sp,days,gross%,fee%,net%
2011-09-20,2011-10-31,856.81,852.8,41,-0.47,0.6,-1.07
2012-07-02,2012-07-18,741.19,702.14,16,-5.27,0.85,-6.12
2012-08-23,2012-09-28,750.56,689.64,36,-8.12,0.6,-8.72
2012-11-01,2012-11-05,701.78,692.87,4,-1.27,1.6,-2.87
2013-02-20,2014-05-21,850.86,1257.8,455,47.83,0.35,47.48
2014-08-19,2015-08-31,1436.4,1996.86,377,39.02,0.35,38.67
2015-12-16,2016-03-02,2763.11,2017.6,77,-26.98,0.6,-27.58
2016-06-27,2016-11-21,2191.81,2152.6,147,-1.79,0.6,-2.39
2017-10-11,2018-01-11,1901.55,1804.24,92,-5.12,0.6,-5.72
2018-05-11,2018-06-29,1834.78,1606.72,49,-12.43,0.6,-13.03
2019-03-08,2019-07-15,1654.48,1547.47,129,-6.47,0.6,-7.07
2019-09-16,2021-05-11,1714.37,2921.34,603,70.4,0.35,70.05
2021-06-23,2021-11-02,3318.95,3339.6,132,0.62,0.6,0.02
2021-12-20,2022-02-11,3332.61,2746.38,53,-17.59,0.6,-18.19
2022-08-02,2022-10-24,2678.62,2336.84,83,-12.76,0.6,-13.36
2023-02-21,2023-05-04,2469.81,2297.67,72,-6.97,0.6,-7.57
2024-05-15,2024-07-24,1838.89,1650.91,70,-10.22,0.6,-10.82
2024-10-30,2025-03-21,2151.52,2152.28,142,0.04,0.6,-0.56
2025-07-28,2026-06-22,2362.6,4359.39,329,84.52,0.6,83.92
